scenario_id,category,mode,lapse_latency_ms,cancel_request_latency_ms,cancel_confirm_latency_ms
execution.expire_before_submit,lease_expiry,deterministic,1,,
execution.expire_while_running,lease_expiry,deterministic,100,0,0
execution.expire_latency_sweep#at_ms=1,lease_expiry,deterministic,1,0,0
execution.expire_latency_sweep#at_ms=5,lease_expiry,deterministic,5,0,0
execution.expire_latency_sweep#at_ms=10,lease_expiry,deterministic,10,0,0
execution.expire_latency_sweep#at_ms=50,lease_expiry,deterministic,50,0,0
execution.expire_latency_sweep#at_ms=100,lease_expiry,deterministic,100,0,0
execution.expire_latency_sweep#at_ms=500,lease_expiry,deterministic,500,0,0
cancel.accepted_never_confirmed,cancellation_uncertainty,deterministic,50,0,
cancel.rejected,cancellation_uncertainty,deterministic,50,0,
cancel.already_terminal,cancellation_uncertainty,deterministic,50,0,
cancel.unknown,cancellation_uncertainty,deterministic,50,0,
supersede.while_running_confirmed,supersession,deterministic,,0,0
supersede.while_running_unconfirmed,supersession,deterministic,,0,
sim.supersede,supersession,simulation,,0,112
sim.expiry,lease_expiry,simulation,1,0,110
sim.clock_pause,simulation_time_fault,simulation,997,,
